| Shooter                    | Goals | Shots | Blocks | Misses | Attempts | Shots_Through_Per |
+----------------------------+-------+-------+--------+--------+----------+-------------------+
| MATS ZUCCARELLO      |    19 |   151 |     62 |     62 |      294 |            0.5782 |
| CARL HAGELIN         |    17 |   127 |     60 |     45 |      249 |            0.5783 |
| TYLER JOHNSON        |    24 |   157 |     61 |     71 |      313 |            0.5783 |
| CHRIS STEWART        |    15 |    95 |     32 |     48 |      190 |            0.5789 |
| JUSSI JOKINEN        |    21 |   151 |     73 |     52 |      297 |            0.5791 |
| RYAN NUGENT-HOPKINS  |    19 |   159 |     72 |     57 |      307 |            0.5798 |
| BRANDON BOLLIG       |     7 |   102 |     46 |     33 |      188 |            0.5798 |
| MATT DUCHENE         |    23 |   194 |     81 |     76 |      374 |            0.5802 |
| DERICK BRASSARD      |    18 |   141 |     64 |     51 |      274 |            0.5803 |
| MAX PACIORETTY       |    39 |   231 |     93 |    102 |      465 |            0.5806 |
| KRIS VERSTEEG        |    12 |   145 |     58 |     55 |      270 |            0.5815 |
